obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""1296.0203""","=""500""","=""7.4e+06""",D,"=""12.90701530""","=""13.8636686""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",3,3,,
"=""1301.1822""","=""200""","=""8.9e+06""",D,"=""13.30222747""","=""14.2550856""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",5,3,,
"=""1321.760""","=""200""","=""8.1e+06""",D,"=""12.90701530""","=""13.8450385""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",3,1,,
"=""1323.452""","=""100""","=""4.6e+06""",D,"=""13.15314387""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",3,3,,
"=""1327.627""","=""500""","=""1.5e+07""",D,"=""13.30222747""","=""14.2361061""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",5,7,,
"=""1331.6851""","=""1000""","=""1.3e+07""",D,"=""13.28263902""","=""14.2136715""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",3,5,,
"=""1350.310""","=""30""","=""2.7e+06""",D,"=""13.17177770""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",5,3,,
"=""1350.7884""","=""1000""","=""1.1e+07""",D,"=""13.09487256""","=""14.0127381""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",5,7,,
"=""1360.3052""","=""30""","=""2.2e+06""",D,"=""13.30222747""","=""14.2136715""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",5,5,,
"=""1362.6384""","=""400""","=""7.3e+06""",D,"=""13.15314387""","=""14.0630272""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",3,5,,
"=""1368.2290""","=""200""","=""6.2e+06""",D,"=""13.32785705""","=""14.2340226""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",3,5,,
"=""1409.7493""","=""200""","=""4.3e+06""",D,"=""13.27303810""","=""14.1525151""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""1505.061""","=""100""","=""5.2e+06""",D,"=""13.47988682""","=""14.3036684""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""1599.386""","=""30""","=""1.9e+06""",D,"=""13.47988682""","=""14.2550856""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",1,3,,
"=""1652.437""","=""30""","=""2.6e+05""",D,"=""13.15314387""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",3,5,,
"=""1694.521""","=""500""","=""2.5e+06""",D,"=""13.17177770""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
"=""2062.186""","=""50""","=""3.9e+05""",D,"=""13.30222747""","=""13.9034546""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
